PRICE;BROKERTITLE;intercept;BEDS;BATH;PROPERTYSQFT;mi_avg;tpa;d_cp;d_ts;CAT_VM;CAT_VU;CAT_Otros;residuals;BoroName
12.660331092405906;Brokered by Douglas Elliman  -111 Fifth Ave;11.434562791562836;0.164097091;3.592840465759743;1.469035497734759;0.49620961;9.85156E-06;-0.347767889;-0.640248713;0.712768228;0.249928256;-0.156412438;-1.51121061;Manhattan
12.468440756144114;Brokered by Sowae Corp;37.384400395368068;0.293410565;0.576844366;2.046844013675543;0.757393249;0.000113443;7.473885890821808;-33.36208997;0.098992823;0.165358746;-0.027071676;-1.119889827;Staten Island
11.141876276228000;Brokered by COMPASS;11.438460349979307;0.164524566;3.591507125010369;1.468960351666281;0.496304951;9.78962E-06;-0.349037047;-0.644547251;0.714174149;0.248953472;-0.156438648;-1.988237805;Manhattan
17.822843761378564;Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;11.869614751091223;0.189528027;3.470541378364826;1.421922965905883;0.520382752;3.56561E-06;-0.955639966;-1.061899829;0.733706943;0.203806384;-0.14418896;1.682008599274415;Manhattan
13.444448325847754;Brokered by Sowae Corp;15.499510405193666;0.30690597;2.163528457208701;1.500778254810068;1.244229318249783;-3.30E-05;-1.124578817;-4.48652359;0.048553288;-0.083671313;-0.127220879;-0.652498504;Brooklyn
13.709595444100845;Brokered by Douglas Elliman - 575 Madison Ave;12.862929008762114;0.230374145;3.060366030065382;1.023786336294182;0.734007721;-1.65E-05;-2.859100512;-1.784352364;0.613740428;0.263939227;-0.206491078;-0.20988799;Manhattan
12.487488878546145;Brokered by Pantiga Group Inc.;16.636879848997388;0.357485254;1.808329449604724;1.048245483655353;0.982939706;-3.07E-05;0.052192827;-6.579365134;0.432133579;0.414175622;0.002672184;0.336613237;Bronx
12.994532278619134;Brokered by CENTURY 21 MK Realty;79.020770308667991;0.273563517;1.709669716294444;1.298390298074916;0.442138385;-0.000342981;27.573364268312574;-93.13115988;0.300941003;0.330516895;0.077607346;0.086373881;Brooklyn
12.834683971615659;Brokered by Engel & Volkers Americas;13.964029152906704;0.228030357;2.772067381788327;0.884011412;0.991473308;-3.59E-05;-1.670455788;-3.266361866;0.454992141;0.337894129;-0.303931242;0.410802124;Bronx
13.442998001373553;Brokered by Re/Max Edge;32.707299685182655;0.240057241;0.761906702;2.087409803523373;0.80803773;0.00015987;6.059007156684609;-27.46007919;0.096115803;0.192179737;-0.040852064;0.314029219;Staten Island
12.464587201678082;Brokered by COMPASS;16.142113161586892;0.194098702;2.284169392771504;-0.018825834;0.455841344;-1.94E-05;0.587029861;-5.651477127;0.473652928;0.475520207;0.216249221;-0.390302608;Queens
12.971542813248437;Brokered by Jamie & Connie Real Estate Grp;17.162118626036236;0.187187627;2.228753125416821;0.031858012;0.368296831;1.63146E-05;1.501957649799648;-7.26735619;0.509523106;0.509299067;0.263961156;-0.275198341;Queens
13.704580114574805;Brokered by Corcoran Chelsea/Flatiron;10.693492401928907;0.102469345;3.715285695231137;1.706859243778901;0.546881683;1.97658E-05;0.612082339;0.003037108;0.572446634;0.558618917;-0.22135625;-0.147637995;Manhattan
13.215855541983634;Brokered by Awaye Realty;36.150053238960425;0.291807417;0.602013747;2.048362106969995;0.747322848;9.91871E-05;6.985623151992015;-31.65819212;0.09906037;0.163051013;-0.034581221;0.080891165;Staten Island
13.790193775620484;Brokered by Realty Executives Today;12.536643064596898;0.239237997;2.767002486201147;0.370901471;0.564865246;-3.14E-05;-1.992336563;-0.772419222;0.327663308;0.369042709;0.031257316;-0.120292537;Queens
12.201065128819632;Brokered by Dorsa Group Realty;-0.035814722;0.263637277;1.255729774128426;1.828395221554187;0.862041254;-7.45E-05;-8.068980413;18.236604019363256;0.22920881;0.282788274;-0.061071413;-0.445155356;Brooklyn
12.765691290604371;Brokered by Coldwell Banker Realty;15.389937495132040;0.32894595;1.945961183176732;1.269252105373935;1.162826944378618;-0.000139007;-0.436323655;-5.096726491;0.416116068;0.374116874;-0.121374524;0.600480599;Bronx
13.303018546545275;Brokered by Keller Williams Rlty Landmark;14.854841216850540;0.180454132;2.219928390188769;0.095084708;0.442221771;8.00672E-05;0.304175834;-4.071509617;0.510612848;0.51176723;0.302341663;0.05312107;Queens
13.369223455335854;Brokered by Radiant Estates LLC;27.909628744343888;0.246894469;0.844560963;2.064397622519169;0.824667378;0.000129687;3.650012241096712;-20.50851325;0.113714114;0.216296818;-0.057545435;-0.044505688;Staten Island
14.077875591662238;Brokered by Apaus. Inc;2.161704969374411;0.158436094;2.232658437848944;0.209411765;0.580862658;0.000101493;-5.648261159;13.517967888162453;0.539095491;0.559132639;0.375081356;0.891045107;Queens
13.910821646859095;Brokered by Keller Williams Ny Realty;28.201966235530275;0.352913727;1.468497225061927;1.158150774745454;0.536391385;-2.12E-05;5.337046550915797;-21.76195778;0.474668385;0.444160365;0.245150767;-0.060043999;Bronx
12.765405536311112;Brokered by Martino Realty Group;28.812362100947539;0.263442855;0.834244704;2.029529680306776;0.777264887;7.64296E-05;3.934573993554812;-21.59302989;0.120222796;0.197796053;-0.060931607;0.349410525;Staten Island
13.527829818844937;Brokered by Elizabeth Marra;35.345680407397403;0.300955204;0.536003346;2.052246576990179;0.734941839;0.000109883;6.847498818091841;-30.66446634;0.095707729;0.157554605;-0.025964666;0.069845722;Staten Island
14.340239678615058;Brokered by CENTURY 21 Milestone Realty;-6.707348441;0.138023845;2.205474284257495;0.381870677;0.617620504;0.000117212;-9.911197424;25.898713715547697;0.589651807;0.640462328;0.43182827;0.173295971;Queens
